,created_at,id,text,text_nsw
2,2021-11-26 02:15:52+00:00,1464055273639878663,"@brownballin11 @doulie_montana oh definitely. covid can’t stop me now. until the mandate vax,,,,, but we will cross… https://t.co/fihxju4xhb","@brownballin11 @doulie_montana oh definitely. covid ’ stop . mandate vax,,,,, cross… https://.co/fihxju4xhb"
3,2021-11-26 02:15:52+00:00,1464055274248056852,@gayrepublicswag 😂 warning!!  i don’t give a single crap about covid.,@gayrepublicswag 😂 warning!! ’ give single crap covid.
4,2021-11-26 02:15:53+00:00,1464055276697440257,@bulltradefinder germany said covid was the worst thing ever to happen to germany.  lol sure if you erase history,@bulltradefinder germany said covid worst thing ever happen germany. lol sure erase history
5,2021-11-26 02:16:02+00:00,1464055313477349376,@joyannreid hey dimwit....thats because people that lost their jobs due to covid can't draw unemployment anymore. d… https://t.co/gkaqtp4bi6,@joyannreid hey dimwit....thats people lost jobs due covid ' draw unemployment anymore. … https://.co/gkaqtp4bi6
6,2021-11-26 02:16:06+00:00,1464055331676254214,all my health problems post-covid are proof that this virus is not a joke cause i’ve been to the doctor more times… https://t.co/fe1vjaqa5a, health problems post-covid proof virus joke cause ’ doctor times… https://.co/fe1vjaqa5a
7,2021-11-26 02:16:07+00:00,1464055335950307332,guess who's taking her exam while in line waiting for her vaccination 💀,guess ' taking exam line waiting vaccination 💀
8,2021-11-26 02:16:09+00:00,1464055345215463427,the government has signed a contract to buy 30 million doses of covid-19 vaccine from pfizer to be delivered from t… https://t.co/yzagb809tv, government signed contract buy 30 million doses covid-19 vaccine pfizer delivered … https://.co/yzagb809tv
9,2021-11-26 02:16:13+00:00,1464055361057751040,"weakness was there and new covid variant in africa added fuel to the 🔥 bulls are trapped big time!

17350 -17300 ca… https://t.co/tnkiitrpij",weakness new covid variant africa added fuel 🔥 bulls trapped big time! 17350 -17300 ca… https://.co/tnkiitrpij
10,2021-11-26 02:16:14+00:00,1464055365717401606,#f1jp new variant corona virus covid  african #spidermannowayhome,#f1jp new variant corona virus covid african #spidermannowayhome
11,2021-11-26 02:16:14+00:00,1464055366627430401,"on wednesday, i tried the ""test"" park ticket at tokyo disney, where you show proof of vaccination or a negative pcr… https://t.co/80wbkrae6n"," wednesday, tried ""test"" park ticket tokyo disney, show proof vaccination negative pcr… https://.co/80wbkrae6n"
12,2021-11-26 02:16:15+00:00,1464055368854556672,kinda sucks being chronically dehydrated because i never know if i'm feeling sick because of that or if it's the covid.,kinda sucks chronically dehydrated never know ' feeling sick ' covid.
13,2021-11-26 02:16:15+00:00,1464055370452586499,the cm verifies your vaccination status at the ticket turnstiles by checking your vaccination certificate. i showed… https://t.co/bthdmyoubs, cm verifies vaccination status ticket turnstiles checking vaccination certificate. showed… https://.co/bthdmyoubs
14,2021-11-26 02:16:16+00:00,1464055371765477384,i also had to show my government id (i used my japan resident card). your name on your vaccination certificate and id has to match., also show government id ( used japan resident card). name vaccination certificate id match.
15,2021-11-26 02:16:17+00:00,1464055378442956822,"futures sharply negative on new s african covid strain w/ 32 mutations, which current vaccines may not work on...… https://t.co/w7keeyed55","futures sharply negative new african covid strain w/ 32 mutations, current vaccines may work ...… https://.co/w7keeyed55"
16,2021-11-26 02:16:20+00:00,1464055388412817420,@monicaonairtalk you need to read zerohedge.  bad covid news breaking. new variant. stock mkts selling off hard tonight ….,@monicaonairtalk need read zerohedge. bad covid news breaking. new variant. stock mkts selling hard tonight ….
17,2021-11-26 02:16:21+00:00,1464055393055768581,"@bunny_godfather @jt_mag_os @juliaminuma the safe side is the best and only side to be on when there's a new, potential covid danger.","@bunny_godfather @jt_mag_os @juliaminuma safe side best side ' new, potential covid danger."
18,2021-11-26 02:16:27+00:00,1464055418833956869,this is the #covid19 variant that could kill all of us., #covid19 variant could kill us.
19,2021-11-26 02:16:27+00:00,1464055419198787584,4 &amp; 5 vaccination has entered chat,4 &amp; 5 vaccination entered chat
20,2021-11-26 02:16:27+00:00,1464055420293722132,@roguegamer_m aw!! i hope that you feel better soon! glad to hear that you avoided covid at least 🙏🏼 hopefully it’s… https://t.co/2agp1y1gff,@roguegamer_m aw!! hope feel better soon! glad hear avoided covid least 🙏🏼 hopefully ’… https://.co/2agp1y1gff
21,2021-11-26 02:16:28+00:00,1464055421979795459,retweet this with a pic of you just before covid hit https://t.co/kffnvow8gs,retweet pic covid hit https://.co/kffnvow8gs
22,2021-11-26 02:16:29+00:00,1464055425905557507,covid go away,covid go away
